start_date,end_date,answer,pct
2/16/20,2/20/20,Biden,55
2/16/20,2/20/20,Trump,36
2/16/20,2/20/20,Bloomberg,58
2/16/20,2/20/20,Trump,33
2/16/20,2/20/20,Buttigieg,56
2/16/20,2/20/20,Trump,37
2/16/20,2/20/20,Klobuchar,53
2/16/20,2/20/20,Trump,37
2/16/20,2/20/20,Sanders,56
2/16/20,2/20/20,Trump,38
2/16/20,2/20/20,Warren,53
2/16/20,2/20/20,Trump,39
2/12/20,2/20/20,Biden,47
2/12/20,2/20/20,Trump,47
2/12/20,2/20/20,Sanders,49
2/12/20,2/20/20,Trump,46
2/12/20,2/20/20,Warren,47
2/12/20,2/20/20,Trump,47
2/12/20,2/20/20,Klobuchar,44
2/12/20,2/20/20,Trump,45
2/12/20,2/20/20,Buttigieg,45
2/12/20,2/20/20,Trump,46
2/12/20,2/20/20,Bloomberg,45
2/12/20,2/20/20,Trump,48
2/11/20,2/20/20,Biden,46
2/11/20,2/20/20,Trump,45
2/11/20,2/20/20,Buttigieg,44
2/11/20,2/20/20,Trump,44
2/11/20,2/20/20,Klobuchar,43
2/11/20,2/20/20,Trump,43
2/11/20,2/20/20,Sanders,47
2/11/20,2/20/20,Trump,45
2/11/20,2/20/20,Warren,45
2/11/20,2/20/20,Trump,45
2/11/20,2/20/20,Biden,47
2/11/20,2/20/20,Trump,43
2/11/20,2/20/20,Buttigieg,47
2/11/20,2/20/20,Trump,41
2/11/20,2/20/20,Klobuchar,44
2/11/20,2/20/20,Trump,41
2/11/20,2/20/20,Sanders,48
2/11/20,2/20/20,Trump,41
2/11/20,2/20/20,Warren,46
2/11/20,2/20/20,Trump,43
2/11/20,2/20/20,Biden,45
2/11/20,2/20/20,Trump,43
2/11/20,2/20/20,Buttigieg,45
2/11/20,2/20/20,Trump,43
2/11/20,2/20/20,Klobuchar,44
2/11/20,2/20/20,Trump,43
2/11/20,2/20/20,Sanders,46
2/11/20,2/20/20,Trump,44
2/11/20,2/20/20,Warren,46
2/11/20,2/20/20,Trump,44
2/15/20,2/19/20,Biden,46
2/15/20,2/19/20,Trump,44
2/15/20,2/19/20,Sanders,47
2/15/20,2/19/20,Trump,43
2/15/20,2/19/20,Warren,43
2/15/20,2/19/20,Trump,45
2/15/20,2/19/20,Buttigieg,42
2/15/20,2/19/20,Trump,43
2/15/20,2/19/20,Klobuchar,40
2/15/20,2/19/20,Trump,43
2/15/20,2/19/20,Bloomberg,47
2/15/20,2/19/20,Trump,41
2/15/20,2/19/20,Biden,46
2/15/20,2/19/20,Trump,43
2/15/20,2/19/20,Sanders,48
2/15/20,2/19/20,Trump,43
2/15/20,2/19/20,Warren,44
2/15/20,2/19/20,Trump,45
2/15/20,2/19/20,Buttigieg,45
2/15/20,2/19/20,Trump,42
2/15/20,2/19/20,Klobuchar,43
2/15/20,2/19/20,Trump,43
2/15/20,2/19/20,Bloomberg,45
2/15/20,2/19/20,Trump,42
2/13/20,2/19/20,Biden,60
2/13/20,2/19/20,Trump,35
2/13/20,2/19/20,Bloomberg,59
2/13/20,2/19/20,Trump,32
2/13/20,2/19/20,Buttigieg,58
2/13/20,2/19/20,Trump,33
2/13/20,2/19/20,Gabbard,52
2/13/20,2/19/20,Trump,35
2/13/20,2/19/20,Klobuchar,59
2/13/20,2/19/20,Trump,32
2/13/20,2/19/20,Sanders,61
2/13/20,2/19/20,Trump,34
2/13/20,2/19/20,Steyer,54
2/13/20,2/19/20,Trump,36
2/13/20,2/19/20,Warren,59
2/13/20,2/19/20,Trump,35
2/16/20,2/18/20,Biden,48.2
2/16/20,2/18/20,Trump,51.8
2/16/20,2/18/20,Sanders,50.6
2/16/20,2/18/20,Trump,49.4
2/16/20,2/18/20,Klobuchar,49.1
2/16/20,2/18/20,Trump,50.9
2/16/20,2/18/20,Bloomberg,48.9
2/16/20,2/18/20,Trump,51.1
2/16/20,2/18/20,Buttigieg,49.4
2/16/20,2/18/20,Trump,50.6
2/12/20,2/18/20,Biden,47
2/12/20,2/18/20,Trump,43
2/12/20,2/18/20,Sanders,48
2/12/20,2/18/20,Trump,43
2/12/20,2/18/20,Warren,45
2/12/20,2/18/20,Trump,43
2/12/20,2/18/20,Buttigieg,45
2/12/20,2/18/20,Trump,44
2/12/20,2/18/20,Klobuchar,45
2/12/20,2/18/20,Trump,44
2/12/20,2/18/20,Bloomberg,47
2/12/20,2/18/20,Trump,42
2/12/20,2/18/20,Biden,50
2/12/20,2/18/20,Trump,42
2/12/20,2/18/20,Sanders,48
2/12/20,2/18/20,Trump,44
2/12/20,2/18/20,Warren,47
2/12/20,2/18/20,Trump,44
2/12/20,2/18/20,Buttigieg,47
2/12/20,2/18/20,Trump,43
2/12/20,2/18/20,Klobuchar,49
2/12/20,2/18/20,Trump,42
2/12/20,2/18/20,Bloomberg,48
2/12/20,2/18/20,Trump,42
2/12/20,2/18/20,Biden,42
2/12/20,2/18/20,Trump,49
2/12/20,2/18/20,Sanders,43
2/12/20,2/18/20,Trump,50
2/12/20,2/18/20,Warren,41
2/12/20,2/18/20,Trump,51
2/12/20,2/18/20,Buttigieg,41
2/12/20,2/18/20,Trump,49
2/12/20,2/18/20,Klobuchar,39
2/12/20,2/18/20,Trump,50
2/12/20,2/18/20,Bloomberg,41
2/12/20,2/18/20,Trump,49
2/10/20,2/18/20,Bloomberg,50
2/10/20,2/18/20,Trump,44
2/10/20,2/18/20,Biden,49
2/10/20,2/18/20,Trump,48
2/10/20,2/18/20,Sanders,48
2/10/20,2/18/20,Trump,48
2/10/20,2/18/20,Warren,47
2/10/20,2/18/20,Trump,47
2/10/20,2/18/20,Buttigieg,45
2/10/20,2/18/20,Trump,49
2/10/20,2/18/20,Klobuchar,44
2/10/20,2/18/20,Trump,48
2/9/20,2/18/20,Biden,48
2/9/20,2/18/20,Trump,40
2/9/20,2/18/20,Sanders,49
2/9/20,2/18/20,Trump,40
2/9/20,2/18/20,Warren,48
2/9/20,2/18/20,Trump,41
2/9/20,2/18/20,Buttigieg,47
2/9/20,2/18/20,Trump,40
2/9/20,2/18/20,Bloomberg,46
2/9/20,2/18/20,Trump,40
2/9/20,2/18/20,Klobuchar,46
2/9/20,2/18/20,Trump,39
2/6/20,2/18/20,Biden,43
2/6/20,2/18/20,Trump,43
2/6/20,2/18/20,Sanders,46
2/6/20,2/18/20,Trump,42
2/6/20,2/18/20,Buttigieg,44
2/6/20,2/18/20,Trump,40
2/6/20,2/18/20,Bloomberg,46
2/6/20,2/18/20,Trump,41
2/6/20,2/18/20,Biden,47
2/6/20,2/18/20,Trump,42
2/6/20,2/18/20,Sanders,45
2/6/20,2/18/20,Trump,43
2/6/20,2/18/20,Buttigieg,46
2/6/20,2/18/20,Trump,40
2/6/20,2/18/20,Bloomberg,48
2/6/20,2/18/20,Trump,39
2/6/20,2/18/20,Biden,42
2/6/20,2/18/20,Trump,44
2/6/20,2/18/20,Sanders,45
2/6/20,2/18/20,Trump,46
2/6/20,2/18/20,Buttigieg,44
2/6/20,2/18/20,Trump,43
2/6/20,2/18/20,Bloomberg,43
2/6/20,2/18/20,Trump,44
2/14/20,2/17/20,Biden,42
2/14/20,2/17/20,Trump,40
2/14/20,2/17/20,Sanders,43
2/14/20,2/17/20,Trump,40
2/14/20,2/17/20,Warren,40
2/14/20,2/17/20,Trump,41
2/14/20,2/17/20,Buttigieg,43
2/14/20,2/17/20,Trump,40
2/14/20,2/17/20,Bloomberg,44
2/14/20,2/17/20,Trump,38
2/14/20,2/17/20,Klobuchar,39
2/14/20,2/17/20,Trump,40
2/14/20,2/17/20,Biden,52
2/14/20,2/17/20,Trump,44
2/14/20,2/17/20,Sanders,50
2/14/20,2/17/20,Trump,46
2/14/20,2/17/20,Bloomberg,50
2/14/20,2/17/20,Trump,43
2/14/20,2/17/20,Buttigieg,48
2/14/20,2/17/20,Trump,44
2/14/20,2/17/20,Klobuchar,48
2/14/20,2/17/20,Trump,45
2/14/20,2/17/20,Biden,52
2/14/20,2/17/20,Trump,44
2/14/20,2/17/20,Sanders,53
2/14/20,2/17/20,Trump,42
2/14/20,2/17/20,Warren,50
2/14/20,2/17/20,Trump,45
2/14/20,2/17/20,Bloomberg,52
2/14/20,2/17/20,Trump,43
2/14/20,2/17/20,Buttigieg,50
2/14/20,2/17/20,Trump,43
2/14/20,2/17/20,Klobuchar,48
2/14/20,2/17/20,Trump,45
2/14/20,2/17/20,Biden,52
2/14/20,2/17/20,Trump,45
2/14/20,2/17/20,Sanders,51
2/14/20,2/17/20,Trump,45
2/14/20,2/17/20,Warren,48
2/14/20,2/17/20,Trump,47
2/14/20,2/17/20,Bloomberg,50
2/14/20,2/17/20,Trump,45
2/14/20,2/17/20,Buttigieg,49
2/14/20,2/17/20,Trump,46
2/14/20,2/17/20,Klobuchar,48
2/14/20,2/17/20,Trump,46
2/14/20,2/17/20,Buttigieg,50
2/14/20,2/17/20,Trump,44
2/14/20,2/17/20,Sanders,50
2/14/20,2/17/20,Trump,42
2/13/20,2/17/20,Biden,48
2/13/20,2/17/20,Trump,45
2/13/20,2/17/20,Buttigieg,48
2/13/20,2/17/20,Trump,45
2/13/20,2/17/20,Warren,46
2/13/20,2/17/20,Trump,47
2/13/20,2/17/20,Sanders,50
2/13/20,2/17/20,Trump,45
2/13/20,2/17/20,Bloomberg,50
2/13/20,2/17/20,Trump,43
2/13/20,2/17/20,Klobuchar,44
2/13/20,2/17/20,Trump,46
2/13/20,2/17/20,Steyer,42
2/13/20,2/17/20,Trump,47
2/12/20,2/17/20,Bloomberg,46
2/12/20,2/17/20,Trump,42
2/12/20,2/17/20,Sanders,46
2/12/20,2/17/20,Trump,42
2/12/20,2/17/20,Biden,45
2/12/20,2/17/20,Trump,43
2/12/20,2/17/20,Buttigieg,44
2/12/20,2/17/20,Trump,42
2/12/20,2/17/20,Warren,44
